!EXCLAMATION-POINT = éksklemēśenpōnt
ACCEPTANCE(1) = ekséptens
ACCEPTANCES = ekséptenses
ACCEPTED = ekséptid
ACCEPTING = ekséptiŋ
ACCEPTING(1) = ekséptiŋ
ACCEPTS = eksépts
ACCESS = áksés
ACCESSED = áksést
ACCESSIBILITY = áksésebiliti
ACCESSIBLE = eksésebel
ACCESSING = áksésiŋ
ACCESSION = ekséśen
ACCESSORIES = ekséseres
ACCESSORIZE = ekséserāz
ACCESSORIZED = ekséserāzd
ACCESSORY = ekséseri
ACCETTA = ecéte
ACCIDENT = áksedent
ACCIDENT'S = áksedents
ACCIDENTAL = áksedéntel
ACCIDENTAL(1) = áksedénel
ACCIDENTALLY = áksedénteli
ACCIDENTALLY(1) = áksedéneli
ACCIDENTLY = áksedentli
ACCIDENTS = áksedents
ACCION = ácien
ACCIVAL = ásival
ACCLAIM = eklēm
ACCLAIM'S = eklēms
ACCLAIMED = eklēmd
ACCLAIMING = eklēmiŋ
ACCLAIMS = eklēms
ACCLAMATION = áklemēśen
ACCLIMATE = áklemēt
ACCLIMATED = áklemētid
ACCLIMATION = áklemēśen
ACCO = ákò
ACCOKEEK = ákòkik
ACCOLA = ekòle
ACCOLADE = ákelēd
ACCOLADES = ákelēds
ACCOMANDO = ekòmandò
ACCOMMODATE = ekomedēt
ACCOMMODATED = ekomedēted
ACCOMMODATES = ekomedēts
ACCOMMODATING = ekomedētiŋ
ACCOMMODATION = ekomedēśen
ACCOMMODATIONS = ekomedēśens
ACCOMMODATIVE = ekomedētiv
ACCOMPANIED = ekampenid
ACCOMPANIES = ekampenes
ACCOMPANIMENT = ekampniment
ACCOMPANIMENT(1) = ekampniment
ACCOMPANIMENTS = ekampniments
ACCOMPANIMENTS(1) = ekampniments
ACCOMPANIST = ekampenest
ACCOMPANY = ekampeni
ACCOMPANYING = ekampeniiŋ
ACCOMPLI = akompli
ACCOMPLI(1) = ekompli
ACCOMPLICE = ekomples
ACCOMPLICES = ekompleses
ACCOMPLISH = ekompliś
ACCOMPLISHED = ekompliśt
ACCOMPLISHES = ekompliśes
ACCOMPLISHING = ekompliśiŋ
ACCOMPLISHMENT = ekompliśment
ACCOMPLISHMENTS = ekompliśments
ACCOR = ákor
ACCOR'S = ákers
ACCORD = ekord
ACCORD'S = ekords
ACCORDANCE = ekordens
ACCORDED = ekordid
ACCORDING = ekordiŋ
ACCORDINGLY = ekordiŋli
ACCORDION = ekordien
ACCORDIONS = ekordiens
ACCORDS = ekords
ACCOST = ekóst
ACCOSTED = ekosted
ACCOSTING = ekostiŋ
ACCOUNT = ekànt
ACCOUNT'S = ekànts
ACCOUNTABILITY = ekàntebiliti
ACCOUNTABLE = ekàntebel
ACCOUNTANCY = ekàntentsí
ACCOUNTANT = ekàntent
ACCOUNTANT'S = ekàntents
ACCOUNTANTS = ekàntents
ACCOUNTANTS' = ekàntents
ACCOUNTED = ekàntid
ACCOUNTEMP = ekàntémp
ACCOUNTEMPS = ekàntémps
ACCOUNTING = ekàntiŋ
ACCOUNTING(1) = ekàniŋ
ACCOUNTS = ekànts
ACCOUTERMENT = ekúterment
ACCOUTERMENTS = ekúterments
ACCOUTREMENT = ekúterment
ACCOUTREMENTS = ekúterments
ACCRA = akra
ACCREDIT = ekrédit
ACCREDITATION = ekrédetēśen
ACCREDITATIONS = ekrédetēśens
ACCREDITED = ekréditid
ACCREDITING = ekrédetiŋ
ACCRETED = ekrítid
ACCRETION = ekríśen
ACCRUAL = ekrúel
ACCRUALS = ekrúels
ACCRUE = ekrú
ACCRUED = ekrúd
ACCRUES = ekrús
ACCRUING = ekrúiŋ
ACCU = ákyú
ACCUHEALTH = ákyúhélŧ
ACCUMULATE = ekyúmyelēt
ACCUMULATED = ekyúmyelētid
ACCUMULATES = ekyúmyelēts
ACCUMULATING = ekyúmyelētiŋ
ACCUMULATION = ekyúmyelēśen
ACCUMULATIONS = ekyúmyelēśens
ACCUMULATIVE = ekyúmyelētiv
ACCUMULATIVELY = ekyúmyelētivli
ACCUMULATIVELY(1) = ekyúmyeletivli
ACCUMULATOR = ekyúmyelēter
ACCUMULATORS = ekyúmyelēters
ACCURACIES = ákyereses
ACCURACY = ákyeresi
ACCURATE = ákyeret
ACCURATELY = ákyeretli
ACCURAY = ákyerē
ACCURAY'S = ákyerēs
ACCURIDE = ákyerād
ACCURSO = ekursò
ACCUSATION = ákyezēśen
ACCUSATION(1) = ákyúzēśen
ACCUSATIONS = ákyezēśens
ACCUSATIONS(1) = ákyúzēśenz
ACCUSATIVE = ekyúzetiv
ACCUSATORY = ekyúzetori
ACCUSE = ekyúz
ACCUSED = ekyúzd
ACCUSER = ekyúzer
ACCUSERS = ekyúzers
ACCUSES = ekyúzes
ACCUSING = ekyúziŋ
ACCUSINGLY = ekyúziŋli
ACCUSTOM = ekastem
ACCUSTOMED = ekastemd
ACCUTANE = ákyútēn
ACE = ēs
ACECOMM = ēskem
ACED = ēst
ACER = ēser
ACERBIC = esérbik
ACERO = esérò
ACERO(1) = esyérò
ACERO(2) = eŧérò
ACERRA = esére
ACES = ēses
ACETAMINOPHEN = esíteminefen
ACETATE = ásetēt
ACETIC = esétik
ACETIC(1) = esítik
ACETO = esétò
ACETOCHLOR = esétòklor
ACETONE = ásetòn
ACETOSYRINGONE = esétòsiriŋgón
ACETYLCHOLINE = esételkòlin
ACETYLCHOLINE(1) = esítelkòlin
ACETYLENE = esételín
ACEVEDO = esevēdò
ACEVES = esēvés
ACEY = ēsi
ACHAEAN = ecíen
ACHATZ = ákets
ACHE = ēk
ACHEBE = ecēbi
ACHED = ēkt
ACHEE = ecí
ACHENBACH = ákinbek
ACHENBAUM = ákenbàm
ACHES = ēks
ACHESON = ácesen
ACHESON'S = ácesens
ACHESONS = ácesens
ACHEY = áci
ACHIEVA = ecíve
ACHIEVABLE = ecívebel
ACHIEVE = ecív
ACHIEVED = ecívd
ACHIEVEMENT = ecívment
ACHIEVEMENTS = ecívments
ACHIEVER = ecíver
ACHIEVERS = ecívers
ACHIEVES = ecívs
ACHIEVING = ecíviŋ
ACHILLE = ekili
ACHILLES = ekiles
ACHILLES' = ekiliz
ACHING = ēkiŋ
ACHINGLY = ēkiŋli
ACHMED = ahméd
ACHOA = ecòe
ACHOA'S = ecòes
ACHOO = acú
ACHOR = ēker
ACHORD = ákord
ACHORN = ákern
ACHTENBERG = ákténberg
ACHTERBERG = ákterberg
ACHY = ēki
ACID = ásed
ACIDIC = esidik
ACIDIFICATION = esidefekēśen
ACIDIFIED = esidefād
ACIDIFIES = esidefās
ACIDIFY = esidefā
ACIDITY = esideti
ACIDLY = ásedli
ACIDOSIS = ásedòses
ACIDS = áseds
ACIDURIA = ásedurie
ACIERNO = esirnò
ACK = ák
ACKER = áker
ACKER'S = ákers
ACKERLEY = ákerli
ACKERLY = ákerli
ACKERMAN = ákermen
ACKERMANN = ákermen
ACKERMANVILLE = ákermenvil
ACKERSON = ákersen
ACKERT = ákert
ACKHOUSE = ákhàs
ACKLAND = áklend
ACKLES = ákels
ACKLEY = ákli
ACKLIN = áklin
ACKMAN = ákmen
ACKNOWLEDGE = eknolij
ACKNOWLEDGEABLE = eknolijebel
ACKNOWLEDGED = eknolijd
ACKNOWLEDGEMENT = eknolijment
ACKNOWLEDGEMENTS = eknolijments
ACKNOWLEDGES = eknolijes
ACKNOWLEDGING = eknolijiŋ
ACKNOWLEDGMENT = eknolijment
ACKROYD = ákrōd
ACKROYD'S = ákrōds
ACMAT = ákmet
ACMAT'S = ákmets
ACME = ákmi
ACME'S = ákmis
ACNE = ákni
ACOCELLA = ekòcéle
ACOFF = ákóf
ACOG = ekóg
ACOLYTE = ákelāt
ACOLYTES = ákelāts
ACORD = ekord
ACORDIA = ekordie
ACORN = ēkorn
ACORN'S = ēkorns
ACORNS = ēkorns
ACOSTA = ekóste
ACOTT = ēkót
ACOUSTIC = ekústik
ACOUSTICAL = ekústikel
ACOUSTICALLY = ekústikli
ACOUSTICS = ekústiks
ACQUAINT = ekwēnt
ACQUAINTANCE = ekwēntens
ACQUAINTANCES = ekwēntenses
ACQUAINTANCESHIP = ekwēntensśip
ACQUAINTED = ekwēntid
ACQUAINTED(1) = ekwēnid
ACQUAVIVA = ekwevíve
ACQUIESCE = ákwiés
ACQUIESCED = ákwiést
ACQUIESCENCE = ákwiésens
ACQUIESCING = ákwiésiŋ
ACQUIRE = ekwāer
ACQUIRED = ekwāerd
ACQUIRER = ekwāerer
ACQUIRER'S = ekwāerers
ACQUIRERS = ekwāerers
ACQUIRES = ekwāers
ACQUIRING = ekwāriŋ
ACQUIRING(1) = ekwāeriŋ
ACQUISITION = ákweziśen
ACQUISITION'S = ákweziśens
ACQUISITIONS = ákweziśens
ACQUISITIVE = ekwizetiv
ACQUIT = ekwit
ACQUITAINE = ákwitēn
ACQUITS = ekwits
ACQUITTAL = ekwitel
ACQUITTALS = ekwitels
ACQUITTED = ekwitid
ACQUITTING = ekwitiŋ
ACRE = ēker
ACREAGE = ēkerij
ACREAGE(1) = ēkrij
ACREE = ekrí
ACRES = ēkers
ACREY = ákri
ACRI = akri
ACRID = ákrid
ACRIMONIOUS = ákremònies
ACRIMONY = ákrimòni
ACRO = ákrò
ACROBAT = ákrebát
ACROBATIC = ákrebátik
ACROBATICS = ákrebátiks
ACROBATS = ákrebáts
ACROLEIN = ákròlín
ACRONYM = ákrenim
ACRONYMS = ákrenims
ACROPOLIS = ekropeles
ACROSS = ekrós
ACRYLIC = ekrilik
ACRYLICS = ekriliks
ACT = ákt
ACT'S = ákts
ACTAVA = áktave
ACTAVA'S = áktaves
ACTAVAS = áktaves
ACTED = áktid
ACTEL = áktél
ACTIGALL = áktigól
ACTIN = ákten
ACTING = áktiŋ
ACTINIDE = áktinād
ACTINIDIA = áktinidie
ACTINOMYCOSIS = áktinòmākòsis
ACTION = ákśen
ACTION'S = ákśens
ACTIONABLE = ákśenebel
ACTIONS = ákśens
ACTIVASE = áktivēz
ACTIVATE = áktevēt
ACTIVATED = áktivētid
ACTIVATES = áktevēts
ACTIVATING = áktevētiŋ
ACTIVATION = áktevēśen
ACTIVATOR = áktevēter
ACTIVE = áktiv
ACTIVE'S = áktivs
ACTIVELY = áktivli
ACTIVES = áktivs
ACTIVISION = áktiviźen
ACTIVISM = áktivizem
ACTIVIST = áktivist
ACTIVISTS = áktivists
ACTIVISTS' = áktivists
ACTIVITIES = ektivites
ACTIVITY = ektiviti
ACTMEDIA = ektmídie
ACTODINE = áktòdān
ACTON = ákten
ACTOR = ákter
ACTOR'S = ákters
ACTORS = ákters
ACTORS' = ákterz
ACTRESS = áktres
ACTRESS'S = áktresis
ACTRESSES = áktreses
ACTS = ákts
ACTS(1) = áks
ACTUAL = ákcewel
ACTUAL(1) = ákśel
ACTUALITY = ákcúáletí
ACTUALIZE = ákcúelāz
ACTUALLY = ákcúeli
ACTUALLY(1) = ákcli
ACTUALLY(2) = ákśeli
ACTUARIAL = ákcúériel
ACTUARIES = ákcúérís
ACTUARY = ákcúérí
ACTUATE = ákcúēt
ACTUATOR = áktyúēter
ACTUATOR(1) = ákcúēter
ACTUATORS = áktyúēters
ACTUATORS(1) = ákcúēterz
ACTUS = áktes
ACUFF = ekaf
ACUITY = ekyúeti
ACUMEN = ekyúmen
ACUNA = ekúne
ACUPUNCTURE = ákyúpaŋkcer
ACURA = ákyere
ACURA'S = ákyeres
ACURAS = ákyeres
ACUSON = ákyúsen
ACUSTAR = ákyústar
ACUSYST = ákyúsist
ACUTE = ekyút
ACUTELY = ekyútli
ACUTENESS = ekyútnes
ACYCLOVIR = esiklòvir
AD = ád
AD'S = áds
AD-HOC = ádhok
AD-LIB = ádlib
AD-NAUSEAM = ádnóziem
AD-NAUSEUM = ádnóziem
ADA = ēde
ADA'S = ēdes
ADABEL = ádebél
ADABELLE = ádebel
ADACHI = edaki
ADAGE = ádej
ADAGIO = edaźiò
ADAH = áde
ADAIR = edér
ADAIRE = edér
ADAK = edák
ADALAH = edale
ADALIA = edalie
ADAM = ádem
ADAM'S = ádems
ADAMANT = ádement
ADAMANTLY = ádementli
ADAMCIK = ademcik
ADAMCZAK = ademcek
ADAMCZYK = ademcik
ADAME = edami
ADAMEC = edamék
ADAMEK = edamék
ADAMES = edēms
ADAMI = edami
ADAMIK = edamik
ADAMINA = edemíne
ADAMKUS = ádemkes
ADAMO = edamò
ADAMOWICZ = edamevic
ADAMS = ádems
ADAMS' = ádemz
ADAMS'S = ádemzis
